Dijkstra distances from node 5:
Node 28 -> Distance: 2
Node 155 -> Distance: 5
Node 29 -> Distance: 3
Node 156 -> Distance: 4
Node 83 -> Distance: 4
Node 104 -> Distance: 4
Node 86 -> Distance: 4
Node 87 -> Distance: 5
Node 89 -> Distance: 3
Node 94 -> Distance: 4
Node 95 -> Distance: 5
Node 96 -> Distance: 5
Node 97 -> Distance: 5
Node 99 -> Distance: 6
Node 88 -> Distance: 4
Node 101 -> Distance: 4
Node 100 -> Distance: 3
Node 103 -> Distance: 5
Node 105 -> Distance: 4
Node 106 -> Distance: 6
Node 107 -> Distance: 6
Node 108 -> Distance: 5
Node 109 -> Distance: 2
Node 110 -> Distance: 4
Node 111 -> Distance: 2
Node 112 -> Distance: 5
Node 115 -> Distance: 7
Node 114 -> Distance: 4
Node 119 -> Distance: 4
Node 122 -> Distance: 2
Node 127 -> Distance: 4
Node 116 -> Distance: 3
Node 113 -> Distance: 3
Node 125 -> Distance: 5
Dijkstra distances from node 10:
Node 170 -> Distance: 7
Node 169 -> Distance: 8
Node 167 -> Distance: 7
Node 165 -> Distance: 5
Node 160 -> Distance: 7
Node 157 -> Distance: 7
Node 154 -> Distance: 8
Node 149 -> Distance: 6
Node 93 -> Distance: 7
Node 145 -> Distance: 5
Node 139 -> Distance: 7
Node 141 -> Distance: 8
Node 138 -> Distance: 5
Node 32 -> Distance: 5
Node 159 -> Distance: 7
Node 143 -> Distance: 6
Node 16 -> Distance: 14
Node 13 -> Distance: 6
Node 140 -> Distance: 7
Node 72 -> Distance: 11
Node 166 -> Distance: 7
Node 39 -> Distance: 7
Node 10 -> Distance: 0
Node 137 -> Distance: 7
Node 69 -> Distance: 6
Node 45 -> Distance: 7
Node 172 -> Distance: 7
Node 163 -> Distance: 7
Node 36 -> Distance: 7
Node 75 -> Distance: 6
Node 134 -> Distance: 6
Node 7 -> Distance: 6
Node 66 -> Distance: 9
Node 147 -> Distance: 7
Node 20 -> Distance: 6
Node 79 -> Distance: 6
Node 148 -> Distance: 7
Node 21 -> Distance: 7
Node 80 -> Distance: 7
Node 146 -> Distance: 6
Node 19 -> Distance: 7
Node 78 -> Distance: 5
Node 55 -> Distance: 7
Node 182 -> Distance: 8
Node 173 -> Distance: 7
Node 46 -> Distance: 8
Node 57 -> Distance: 6
Node 175 -> Distance: 8
Node 176 -> Distance: 10
Node 177 -> Distance: 8
Node 178 -> Distance: 7
Node 51 -> Distance: 9
Node 179 -> Distance: 7
Node 52 -> Distance: 9
Node 3 -> Distance: 7
Node 62 -> Distance: 7
Node 180 -> Distance: 8
Node 53 -> Distance: 9
Node 4 -> Distance: 7
Node 131 -> Distance: 7
Node 181 -> Distance: 7
Node 54 -> Distance: 5
Node 174 -> Distance: 7
Node 47 -> Distance: 6
Node 56 -> Distance: 6
Node 81 -> Distance: 5
Node 168 -> Distance: 7
Node 41 -> Distance: 6
Node 77 -> Distance: 6
Node 68 -> Distance: 6
Node 71 -> Distance: 5
Node 70 -> Distance: 6
Node 171 -> Distance: 9
Node 44 -> Distance: 8
Node 60 -> Distance: 6
Node 1 -> Distance: 4
Node 64 -> Distance: 7
Node 5 -> Distance: 7
Node 132 -> Distance: 6
Node 34 -> Distance: 5
Node 161 -> Distance: 7
Node 74 -> Distance: 5
Node 15 -> Distance: 5
Node 142 -> Distance: 6
Node 61 -> Distance: 8
Node 2 -> Distance: 6
Node 129 -> Distance: 6
Node 31 -> Distance: 6
Node 158 -> Distance: 9
Node 65 -> Distance: 6
Node 6 -> Distance: 6
Node 133 -> Distance: 7
Node 35 -> Distance: 5
Node 162 -> Distance: 7
Node 8 -> Distance: 1
Node 135 -> Distance: 7
Node 37 -> Distance: 8
Node 76 -> Distance: 6
Node 17 -> Distance: 6
Node 144 -> Distance: 6
Node 23 -> Distance: 6
Node 150 -> Distance: 7
Node 25 -> Distance: 6
Node 152 -> Distance: 7
Node 26 -> Distance: 8
Node 153 -> Distance: 8
Node 28 -> Distance: 7
Node 155 -> Distance: 6
Node 29 -> Distance: 8
Node 156 -> Distance: 7
Node 83 -> Distance: 7
Node 104 -> Distance: 6
Node 86 -> Distance: 7
Node 87 -> Distance: 7
Node 89 -> Distance: 7
Node 94 -> Distance: 8
Node 95 -> Distance: 7
Node 96 -> Distance: 7
Node 97 -> Distance: 7
Node 99 -> Distance: 7
Node 88 -> Distance: 9
Node 101 -> Distance: 5
Node 100 -> Distance: 6
Node 103 -> Distance: 6
Node 105 -> Distance: 7
Node 106 -> Distance: 8
Node 107 -> Distance: 7
Node 108 -> Distance: 7
Node 109 -> Distance: 7
Node 110 -> Distance: 5
Node 111 -> Distance: 5
Node 112 -> Distance: 7
Node 115 -> Distance: 9
Node 114 -> Distance: 6
Node 119 -> Distance: 5
Node 122 -> Distance: 6
Node 127 -> Distance: 7
Node 116 -> Distance: 8
Node 113 -> Distance: 8
Node 125 -> Distance: 10
Dijkstra distances from node 20:
Node 170 -> Distance: 5
Node 169 -> Distance: 6
Node 167 -> Distance: 5
Node 165 -> Distance: 3
Node 160 -> Distance: 4
Node 157 -> Distance: 5
Node 154 -> Distance: 6
Node 149 -> Distance: 4
Node 93 -> Distance: 5
Node 145 -> Distance: 3
Node 139 -> Distance: 5
Node 141 -> Distance: 6
Node 138 -> Distance: 3
Node 32 -> Distance: 2
Node 159 -> Distance: 5
Node 143 -> Distance: 4
Node 16 -> Distance: 12
Node 13 -> Distance: 4
Node 140 -> Distance: 5
Node 72 -> Distance: 8
Node 166 -> Distance: 4
Node 39 -> Distance: 3
Node 10 -> Distance: 6
Node 137 -> Distance: 5
Node 69 -> Distance: 2
Node 45 -> Distance: 4
Node 172 -> Distance: 4
Node 163 -> Distance: 5
Node 36 -> Distance: 5
Node 75 -> Distance: 4
Node 134 -> Distance: 4
Node 7 -> Distance: 4
Node 66 -> Distance: 6
Node 147 -> Distance: 4
Node 20 -> Distance: 0
Node 79 -> Distance: 4
Node 148 -> Distance: 5
Node 21 -> Distance: 5
Node 80 -> Distance: 5
Node 146 -> Distance: 4
Node 19 -> Distance: 2
Node 78 -> Distance: 3
Node 55 -> Distance: 5
Node 182 -> Distance: 6
Node 173 -> Distance: 4
Node 46 -> Distance: 6
Node 57 -> Distance: 4
Node 175 -> Distance: 6
Node 176 -> Distance: 7
Node 177 -> Distance: 6
Node 178 -> Distance: 5
Node 51 -> Distance: 7
Node 179 -> Distance: 5
Node 52 -> Distance: 7
Node 3 -> Distance: 6
Node 62 -> Distance: 3
Node 180 -> Distance: 5
Node 53 -> Distance: 6
Node 4 -> Distance: 4
Node 131 -> Distance: 3
Node 181 -> Distance: 5
Node 54 -> Distance: 3
Node 174 -> Distance: 5
Node 47 -> Distance: 4
Node 56 -> Distance: 4
Node 81 -> Distance: 3
Node 168 -> Distance: 5
Node 41 -> Distance: 4
Node 77 -> Distance: 2
Node 68 -> Distance: 4
Node 71 -> Distance: 3
Node 70 -> Distance: 4
Node 171 -> Distance: 6
Node 44 -> Distance: 4
Node 60 -> Distance: 3
Node 1 -> Distance: 2
Node 64 -> Distance: 5
Node 5 -> Distance: 5
Node 132 -> Distance: 4
Node 34 -> Distance: 3
Node 161 -> Distance: 5
Node 74 -> Distance: 3
Node 15 -> Distance: 3
Node 142 -> Distance: 4
Node 61 -> Distance: 5
Node 2 -> Distance: 4
Node 129 -> Distance: 4
Node 31 -> Distance: 4
Node 158 -> Distance: 4
Node 65 -> Distance: 4
Node 6 -> Distance: 3
Node 133 -> Distance: 5
Node 35 -> Distance: 3
Node 162 -> Distance: 5
Node 8 -> Distance: 5
Node 135 -> Distance: 5
Node 37 -> Distance: 5
Node 76 -> Distance: 4
Node 17 -> Distance: 2
Node 144 -> Distance: 4
Node 23 -> Distance: 1
Node 150 -> Distance: 5
Node 25 -> Distance: 4
Node 152 -> Distance: 5
Node 26 -> Distance: 5
Node 153 -> Distance: 5
Node 28 -> Distance: 3
Node 155 -> Distance: 4
Node 29 -> Distance: 6
Node 156 -> Distance: 5
Node 83 -> Distance: 5
Node 104 -> Distance: 3
Node 86 -> Distance: 5
Node 87 -> Distance: 4
Node 89 -> Distance: 5
Node 94 -> Distance: 6
Node 95 -> Distance: 5
Node 96 -> Distance: 5
Node 97 -> Distance: 5
Node 99 -> Distance: 3
Node 88 -> Distance: 7
Node 101 -> Distance: 3
Node 100 -> Distance: 4
Node 103 -> Distance: 4
Node 105 -> Distance: 5
Node 106 -> Distance: 6
Node 107 -> Distance: 5
Node 108 -> Distance: 2
Node 109 -> Distance: 4
Node 110 -> Distance: 3
Node 111 -> Distance: 3
Node 112 -> Distance: 3
Node 115 -> Distance: 5
Node 114 -> Distance: 4
Node 119 -> Distance: 3
Node 122 -> Distance: 4
Node 127 -> Distance: 5
Node 116 -> Distance: 6
Node 113 -> Distance: 3
Node 125 -> Distance: 5
Dijkstra distances from node 50:
Node 50 -> Distance: 0
Node 170 -> Distance: 2147483647
Node 169 -> Distance: 2147483647
Node 167 -> Distance: 2147483647
Node 165 -> Distance: 2147483647
Node 160 -> Distance: 2147483647
Node 157 -> Distance: 2147483647
Node 154 -> Distance: 2147483647
Node 149 -> Distance: 2147483647
Node 93 -> Distance: 2147483647
Node 145 -> Distance: 2147483647
Node 139 -> Distance: 2147483647
Node 141 -> Distance: 2147483647
Node 138 -> Distance: 2147483647
Node 32 -> Distance: 2147483647
Node 159 -> Distance: 2147483647
Node 143 -> Distance: 2147483647
Node 16 -> Distance: 2147483647
Node 13 -> Distance: 2147483647
Node 140 -> Distance: 2147483647
Node 72 -> Distance: 2147483647
Node 166 -> Distance: 2147483647
Node 39 -> Distance: 2147483647
Node 10 -> Distance: 2147483647
Node 137 -> Distance: 2147483647
Node 69 -> Distance: 2147483647
Node 45 -> Distance: 2147483647
Node 172 -> Distance: 2147483647
Node 163 -> Distance: 2147483647
Node 36 -> Distance: 2147483647
Node 75 -> Distance: 2147483647
Node 134 -> Distance: 2147483647
Node 7 -> Distance: 2147483647
Node 66 -> Distance: 2147483647
Node 147 -> Distance: 2147483647
Node 20 -> Distance: 2147483647
Node 79 -> Distance: 2147483647
Node 148 -> Distance: 2147483647
Node 21 -> Distance: 2147483647
Node 80 -> Distance: 2147483647
Node 146 -> Distance: 2147483647
Node 19 -> Distance: 2147483647
Node 78 -> Distance: 2147483647
Node 55 -> Distance: 2147483647
Node 182 -> Distance: 2147483647
Node 173 -> Distance: 2147483647
Node 46 -> Distance: 2147483647
Node 57 -> Distance: 2147483647
Node 175 -> Distance: 2147483647
Node 176 -> Distance: 2147483647
Node 177 -> Distance: 2147483647
Node 178 -> Distance: 2147483647
Node 51 -> Distance: 2147483647
Node 179 -> Distance: 2147483647
Node 52 -> Distance: 2147483647
Node 3 -> Distance: 2147483647
Node 62 -> Distance: 2147483647
Node 180 -> Distance: 2147483647
Node 53 -> Distance: 2147483647
Node 4 -> Distance: 2147483647
Node 131 -> Distance: 2147483647
Node 181 -> Distance: 2147483647
Node 54 -> Distance: 2147483647
Node 174 -> Distance: 2147483647
Node 47 -> Distance: 2147483647
Node 56 -> Distance: 2147483647
Node 81 -> Distance: 2147483647
Node 168 -> Distance: 2147483647
Node 41 -> Distance: 2147483647
Node 77 -> Distance: 2147483647
Node 68 -> Distance: 2147483647
Node 71 -> Distance: 2147483647
Node 70 -> Distance: 2147483647
Node 171 -> Distance: 2147483647
Node 44 -> Distance: 2147483647
Node 60 -> Distance: 2147483647
Node 1 -> Distance: 2147483647
Node 64 -> Distance: 2147483647
Node 5 -> Distance: 2147483647
Node 132 -> Distance: 2147483647
Node 34 -> Distance: 2147483647
Node 161 -> Distance: 2147483647
Node 74 -> Distance: 2147483647
Node 15 -> Distance: 2147483647
Node 142 -> Distance: 2147483647
Node 61 -> Distance: 2147483647
Node 2 -> Distance: 2147483647
Node 129 -> Distance: 2147483647
Node 31 -> Distance: 2147483647
Node 158 -> Distance: 2147483647
Node 65 -> Distance: 2147483647
Node 6 -> Distance: 2147483647
Node 133 -> Distance: 2147483647
Node 35 -> Distance: 2147483647
Node 162 -> Distance: 2147483647
Node 8 -> Distance: 2147483647
Node 135 -> Distance: 2147483647
Node 37 -> Distance: 2147483647
Node 76 -> Distance: 2147483647
Node 17 -> Distance: 2147483647
Node 144 -> Distance: 2147483647
Node 23 -> Distance: 2147483647
Node 150 -> Distance: 2147483647
Node 25 -> Distance: 2147483647
Node 152 -> Distance: 2147483647
Node 26 -> Distance: 2147483647
Node 153 -> Distance: 2147483647
Node 28 -> Distance: 2147483647
Node 155 -> Distance: 2147483647
Node 29 -> Distance: 2147483647
Node 156 -> Distance: 2147483647
Node 83 -> Distance: 2147483647
Node 104 -> Distance: 2147483647
Node 86 -> Distance: 2147483647
Node 87 -> Distance: 2147483647
Node 89 -> Distance: 2147483647
Node 94 -> Distance: 2147483647
Node 95 -> Distance: 2147483647
Node 96 -> Distance: 2147483647
Node 97 -> Distance: 2147483647
Node 99 -> Distance: 2147483647
Node 88 -> Distance: 2147483647
Node 101 -> Distance: 2147483647
Node 100 -> Distance: 2147483647
Node 103 -> Distance: 2147483647
Node 105 -> Distance: 2147483647
Node 106 -> Distance: 2147483647
Node 107 -> Distance: 2147483647
Node 108 -> Distance: 2147483647
Node 109 -> Distance: 2147483647
Node 110 -> Distance: 2147483647
Node 111 -> Distance: 2147483647
Node 112 -> Distance: 2147483647
Node 115 -> Distance: 2147483647
Node 114 -> Distance: 2147483647
Node 119 -> Distance: 2147483647
Node 122 -> Distance: 2147483647
Node 127 -> Distance: 2147483647
Node 116 -> Distance: 2147483647
Node 113 -> Distance: 2147483647
Node 125 -> Distance: 2147483647
Dijkstra distances from node 100:
Node 170 -> Distance: 3
Node 169 -> Distance: 3
Node 167 -> Distance: 3
Node 165 -> Distance: 3
Node 160 -> Distance: 3
Node 157 -> Distance: 3
Node 154 -> Distance: 3
Node 149 -> Distance: 2
Node 93 -> Distance: 5
Node 145 -> Distance: 3
Node 139 -> Distance: 2
Node 141 -> Distance: 4
Node 138 -> Distance: 2
Node 32 -> Distance: 3
Node 159 -> Distance: 2
Node 143 -> Distance: 3
Node 16 -> Distance: 11
Node 13 -> Distance: 3
Node 140 -> Distance: 3
Node 72 -> Distance: 7
Node 166 -> Distance: 2
Node 39 -> Distance: 4
Node 10 -> Distance: 6
Node 137 -> Distance: 3
Node 69 -> Distance: 4
Node 45 -> Distance: 5
Node 172 -> Distance: 3
Node 163 -> Distance: 3
Node 36 -> Distance: 4
Node 75 -> Distance: 2
Node 134 -> Distance: 2
Node 7 -> Distance: 2
Node 66 -> Distance: 5
Node 147 -> Distance: 3
Node 20 -> Distance: 4
Node 79 -> Distance: 4
Node 148 -> Distance: 3
Node 21 -> Distance: 3
Node 80 -> Distance: 2
Node 146 -> Distance: 4
Node 19 -> Distance: 5
Node 78 -> Distance: 3
Node 55 -> Distance: 3
Node 182 -> Distance: 4
Node 173 -> Distance: 3
Node 46 -> Distance: 5
Node 57 -> Distance: 4
Node 175 -> Distance: 4
Node 176 -> Distance: 8
Node 177 -> Distance: 4
Node 178 -> Distance: 3
Node 51 -> Distance: 5
Node 179 -> Distance: 3
Node 52 -> Distance: 5
Node 3 -> Distance: 2
Node 62 -> Distance: 4
Node 180 -> Distance: 3
Node 53 -> Distance: 6
Node 4 -> Distance: 3
Node 131 -> Distance: 5
Node 181 -> Distance: 2
Node 54 -> Distance: 3
Node 174 -> Distance: 3
Node 47 -> Distance: 3
Node 56 -> Distance: 4
Node 81 -> Distance: 3
Node 168 -> Distance: 3
Node 41 -> Distance: 2
Node 77 -> Distance: 4
Node 68 -> Distance: 2
Node 71 -> Distance: 3
Node 70 -> Distance: 3
Node 171 -> Distance: 7
Node 44 -> Distance: 5
Node 60 -> Distance: 2
Node 1 -> Distance: 2
Node 64 -> Distance: 1
Node 5 -> Distance: 3
Node 132 -> Distance: 1
Node 34 -> Distance: 3
Node 161 -> Distance: 3
Node 74 -> Distance: 3
Node 15 -> Distance: 3
Node 142 -> Distance: 2
Node 61 -> Distance: 5
Node 2 -> Distance: 3
Node 129 -> Distance: 3
Node 31 -> Distance: 4
Node 158 -> Distance: 4
Node 65 -> Distance: 4
Node 6 -> Distance: 4
Node 133 -> Distance: 3
Node 35 -> Distance: 3
Node 162 -> Distance: 2
Node 8 -> Distance: 5
Node 135 -> Distance: 3
Node 37 -> Distance: 5
Node 76 -> Distance: 3
Node 17 -> Distance: 3
Node 144 -> Distance: 2
Node 23 -> Distance: 4
Node 150 -> Distance: 3
Node 25 -> Distance: 4
Node 152 -> Distance: 2
Node 26 -> Distance: 4
Node 153 -> Distance: 4
Node 28 -> Distance: 2
Node 155 -> Distance: 4
Node 29 -> Distance: 4
Node 156 -> Distance: 4
Node 83 -> Distance: 3
Node 104 -> Distance: 2
Node 86 -> Distance: 3
Node 87 -> Distance: 3
Node 89 -> Distance: 3
Node 94 -> Distance: 2
Node 95 -> Distance: 4
Node 96 -> Distance: 4
Node 97 -> Distance: 3
Node 99 -> Distance: 5
Node 88 -> Distance: 5
Node 101 -> Distance: 1
Node 100 -> Distance: 0
Node 103 -> Distance: 2
Node 105 -> Distance: 3
Node 106 -> Distance: 5
Node 107 -> Distance: 5
Node 108 -> Distance: 3
Node 109 -> Distance: 3
Node 110 -> Distance: 3
Node 111 -> Distance: 1
Node 112 -> Distance: 3
Node 115 -> Distance: 5
Node 114 -> Distance: 3
Node 119 -> Distance: 3
Node 122 -> Distance: 3
Node 127 -> Distance: 2
Node 116 -> Distance: 4
Node 113 -> Distance: 3
Node 125 -> Distance: 5
Dijkstra distances from node 200:
Node 200 -> Distance: 0
Node 170 -> Distance: 2147483647
Node 169 -> Distance: 2147483647
Node 167 -> Distance: 2147483647
Node 165 -> Distance: 2147483647
Node 160 -> Distance: 2147483647
Node 157 -> Distance: 2147483647
Node 154 -> Distance: 2147483647
Node 149 -> Distance: 2147483647
Node 93 -> Distance: 2147483647
Node 145 -> Distance: 2147483647
Node 139 -> Distance: 2147483647
Node 141 -> Distance: 2147483647
Node 138 -> Distance: 2147483647
Node 32 -> Distance: 2147483647
Node 159 -> Distance: 2147483647
Node 143 -> Distance: 2147483647
Node 16 -> Distance: 2147483647
Node 13 -> Distance: 2147483647
Node 140 -> Distance: 2147483647
Node 72 -> Distance: 2147483647
Node 166 -> Distance: 2147483647
Node 39 -> Distance: 2147483647
Node 10 -> Distance: 2147483647
Node 137 -> Distance: 2147483647
Node 69 -> Distance: 2147483647
Node 45 -> Distance: 2147483647
Node 172 -> Distance: 2147483647
Node 163 -> Distance: 2147483647
Node 36 -> Distance: 2147483647
Node 75 -> Distance: 2147483647
Node 134 -> Distance: 2147483647
Node 7 -> Distance: 2147483647
Node 66 -> Distance: 2147483647
Node 147 -> Distance: 2147483647
Node 20 -> Distance: 2147483647
Node 79 -> Distance: 2147483647
Node 148 -> Distance: 2147483647
Node 21 -> Distance: 2147483647
Node 80 -> Distance: 2147483647
Node 146 -> Distance: 2147483647
Node 19 -> Distance: 2147483647
Node 78 -> Distance: 2147483647
Node 55 -> Distance: 2147483647
Node 182 -> Distance: 2147483647
Node 173 -> Distance: 2147483647
Node 46 -> Distance: 2147483647
Node 57 -> Distance: 2147483647
Node 175 -> Distance: 2147483647
Node 176 -> Distance: 2147483647
Node 177 -> Distance: 2147483647
Node 178 -> Distance: 2147483647
Node 51 -> Distance: 2147483647
Node 179 -> Distance: 2147483647
Node 52 -> Distance: 2147483647
Node 3 -> Distance: 2147483647
Node 62 -> Distance: 2147483647
Node 180 -> Distance: 2147483647
Node 53 -> Distance: 2147483647
Node 4 -> Distance: 2147483647
Node 131 -> Distance: 2147483647
Node 181 -> Distance: 2147483647
Node 54 -> Distance: 2147483647
Node 174 -> Distance: 2147483647
Node 47 -> Distance: 2147483647
Node 56 -> Distance: 2147483647
Node 81 -> Distance: 2147483647
Node 168 -> Distance: 2147483647
Node 41 -> Distance: 2147483647
Node 77 -> Distance: 2147483647
Node 68 -> Distance: 2147483647
Node 71 -> Distance: 2147483647
Node 70 -> Distance: 2147483647
Node 171 -> Distance: 2147483647
Node 44 -> Distance: 2147483647
Node 60 -> Distance: 2147483647
Node 1 -> Distance: 2147483647
Node 64 -> Distance: 2147483647
Node 5 -> Distance: 2147483647
Node 132 -> Distance: 2147483647
Node 34 -> Distance: 2147483647
Node 161 -> Distance: 2147483647
Node 74 -> Distance: 2147483647
Node 15 -> Distance: 2147483647
Node 142 -> Distance: 2147483647
Node 61 -> Distance: 2147483647
Node 2 -> Distance: 2147483647
Node 129 -> Distance: 2147483647
Node 31 -> Distance: 2147483647
Node 158 -> Distance: 2147483647
Node 65 -> Distance: 2147483647
Node 6 -> Distance: 2147483647
Node 133 -> Distance: 2147483647
Node 35 -> Distance: 2147483647
Node 162 -> Distance: 2147483647
Node 8 -> Distance: 2147483647
Node 135 -> Distance: 2147483647
Node 37 -> Distance: 2147483647
Node 76 -> Distance: 2147483647
Node 17 -> Distance: 2147483647
Node 144 -> Distance: 2147483647
Node 23 -> Distance: 2147483647
Node 150 -> Distance: 2147483647
Node 25 -> Distance: 2147483647
Node 152 -> Distance: 2147483647
Node 26 -> Distance: 2147483647
Node 153 -> Distance: 2147483647
Node 28 -> Distance: 2147483647
Node 155 -> Distance: 2147483647
Node 29 -> Distance: 2147483647
Node 156 -> Distance: 2147483647
Node 83 -> Distance: 2147483647
Node 104 -> Distance: 2147483647
Node 86 -> Distance: 2147483647
Node 87 -> Distance: 2147483647
Node 89 -> Distance: 2147483647
Node 94 -> Distance: 2147483647
Node 95 -> Distance: 2147483647
Node 96 -> Distance: 2147483647
Node 97 -> Distance: 2147483647
Node 99 -> Distance: 2147483647
Node 88 -> Distance: 2147483647
Node 101 -> Distance: 2147483647
Node 100 -> Distance: 2147483647
Node 103 -> Distance: 2147483647
Node 105 -> Distance: 2147483647
Node 106 -> Distance: 2147483647
Node 107 -> Distance: 2147483647
Node 108 -> Distance: 2147483647
Node 109 -> Distance: 2147483647
Node 110 -> Distance: 2147483647
Node 111 -> Distance: 2147483647
Node 112 -> Distance: 2147483647
Node 115 -> Distance: 2147483647
Node 114 -> Distance: 2147483647
Node 119 -> Distance: 2147483647
Node 122 -> Distance: 2147483647
Node 127 -> Distance: 2147483647
Node 116 -> Distance: 2147483647
Node 113 -> Distance: 2147483647
Node 125 -> Distance: 2147483647
Dijkstra distances from node 500:
Node 500 -> Distance: 0
Node 170 -> Distance: 2147483647
Node 169 -> Distance: 2147483647
Node 167 -> Distance: 2147483647
Node 165 -> Distance: 2147483647
Node 160 -> Distance: 2147483647
Node 157 -> Distance: 2147483647
Node 154 -> Distance: 2147483647
Node 149 -> Distance: 2147483647
Node 93 -> Distance: 2147483647
Node 145 -> Distance: 2147483647
Node 139 -> Distance: 2147483647
Node 141 -> Distance: 2147483647
Node 138 -> Distance: 2147483647
Node 32 -> Distance: 2147483647
Node 159 -> Distance: 2147483647
Node 143 -> Distance: 2147483647
Node 16 -> Distance: 2147483647
Node 13 -> Distance: 2147483647
Node 140 -> Distance: 2147483647
Node 72 -> Distance: 2147483647
Node 166 -> Distance: 2147483647
Node 39 -> Distance: 2147483647
Node 10 -> Distance: 2147483647
Node 137 -> Distance: 2147483647
Node 69 -> Distance: 2147483647
Node 45 -> Distance: 2147483647
Node 172 -> Distance: 2147483647
Node 163 -> Distance: 2147483647
Node 36 -> Distance: 2147483647
Node 75 -> Distance: 2147483647
Node 134 -> Distance: 2147483647
Node 7 -> Distance: 2147483647
Node 66 -> Distance: 2147483647
Node 147 -> Distance: 2147483647
Node 20 -> Distance: 2147483647
Node 79 -> Distance: 2147483647
Node 148 -> Distance: 2147483647
Node 21 -> Distance: 2147483647
Node 80 -> Distance: 2147483647
Node 146 -> Distance: 2147483647
Node 19 -> Distance: 2147483647
Node 78 -> Distance: 2147483647
Node 55 -> Distance: 2147483647
Node 182 -> Distance: 2147483647
Node 173 -> Distance: 2147483647
Node 46 -> Distance: 2147483647
Node 57 -> Distance: 2147483647
Node 175 -> Distance: 2147483647
Node 176 -> Distance: 2147483647
Node 177 -> Distance: 2147483647
Node 178 -> Distance: 2147483647
Node 51 -> Distance: 2147483647
Node 179 -> Distance: 2147483647
Node 52 -> Distance: 2147483647
Node 3 -> Distance: 2147483647
Node 62 -> Distance: 2147483647
Node 180 -> Distance: 2147483647
Node 53 -> Distance: 2147483647
Node 4 -> Distance: 2147483647
Node 131 -> Distance: 2147483647
Node 181 -> Distance: 2147483647
Node 54 -> Distance: 2147483647
Node 174 -> Distance: 2147483647
Node 47 -> Distance: 2147483647
Node 56 -> Distance: 2147483647
Node 81 -> Distance: 2147483647
Node 168 -> Distance: 2147483647
Node 41 -> Distance: 2147483647
Node 77 -> Distance: 2147483647
Node 68 -> Distance: 2147483647
Node 71 -> Distance: 2147483647
Node 70 -> Distance: 2147483647
Node 171 -> Distance: 2147483647
